date,title,type,description,link
2024-06-27,"EU and ICAO strengthen commitment to global aviation safety, security, and sustainability",News article,"The EU and the ICAO have reaffirmed their commitment to enhancing global aviation safety, security, and sustainability during a meeting at ICAO Headquarters in Montreal on 26 June.",https://transport.ec.europa.eu/news-events/news/eu-and-icao-strengthen-commitment-global-aviation-safety-security-and-sustainability-2024-06-27_en
2024-06-27,New EU Transport Report: Current trends and issues,News article,"The European Commission has released an overview of the latest developments in the EU transport sector, highlighting trends and issues for both the EU and individual Member States.",https://transport.ec.europa.eu/news-events/news/new-eu-transport-report-current-trends-and-issues-2024-06-27_en
2024-06-25,EU-Ukraine Solidarity Lanes: EU-funded scanners increase capacity at Hungarian-Ukrainian border,News article,"A new EU-funded mobile cargo scanner was delivered today to the border crossing point in Chop at the Hungarian-Ukrainian border, in a bid to improve the flow of trade across Ukraine’s borders. Valued at approximately €2.5 million, the donation is part of the EU-Ukraine Solidarity Lanes.",https://transport.ec.europa.eu/news-events/news/eu-ukraine-solidarity-lanes-eu-funded-scanners-increase-capacity-hungarian-ukrainian-border-2024-06-25_en
2024-06-25,Urban public transport – New set of recommendations adopted by the Expert Group on Urban Mobility (EGUM),News article,"The Commission’s Expert Group on Urban Mobility (EGUM) has adopted recommendations on complementing public transport with shared mobility, and on using the Social Climate Fund to support public transport.",https://transport.ec.europa.eu/news-events/news/urban-public-transport-new-set-recommendations-adopted-expert-group-urban-mobility-egum-2024-06-25_en
2024-06-20,Europeans are generally positive towards e-mobility,News article,A large survey by the European Alternative Fuels Observatory (EAFO) in twelve EU Member States shows a positive attitude towards switching to battery-electric cars.,https://transport.ec.europa.eu/news-events/news/europeans-are-generally-positive-towards-e-mobility-2024-06-20_en
2024-06-20,EU and Ukraine update and extend Road Transport Agreement,News article,"The EU and Ukraine decided today to prolong and update their current road transport Agreement. Implemented due to lost transport routes and export markets east of Ukraine caused by the Russian aggression, the agreement supports the EU-Ukraine Solidarity Lanes.",https://transport.ec.europa.eu/news-events/news/eu-and-ukraine-update-and-extend-road-transport-agreement-2024-06-20_en
2024-06-13,A sustainable and resilient transport network bringing Europe closer together,News article,The Commission welcomes the final adoption of the Regulation underpinning the trans-European transport network (TEN-T) by the European Parliament and the Council.,https://transport.ec.europa.eu/news-events/news/sustainable-and-resilient-transport-network-bringing-europe-closer-together-2024-06-13_en
2024-06-10,European Union signs aviation agreement with the People's Republic of Bangladesh,News article,The European Union and Bangladesh have signed a Horizontal Aviation Agreement,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/IP_24_3143
2024-05-23,May infringements package: key decisions,News article,May infringements package: key decisions,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/inf_24_2422
2024-05-22,"Two years of Solidarity Lanes have brought the EU, Ukraine and Moldova closer together",News article,"Two years ago, in May 2022, the Commission, in collaboration with Ukraine and Moldova, created the Solidarity Lanes to help improve the EU–Ukraine–Moldova transport routes in response to Russia’s illegal full-scale invasion of Ukraine.",https://transport.ec.europa.eu/news-events/news/two-years-solidarity-lanes-have-brought-eu-ukraine-and-moldova-closer-together-2024-05-22_en
2024-05-17,Solidarity Lanes: improving the Danube routes together,News article,"Representatives of Moldova, Romania, Ukraine, the United States  and the European Commission gathered today in Chisinau, continuing their work together to improve trade routes through the Solidarity Lanes along the Danube corridor.",https://transport.ec.europa.eu/news-events/news/solidarity-lanes-improving-danube-routes-together-2024-05-17_en
2024-05-16,EU supports improved Ukrainian–Moldovan border crossing cooperation as part of Solidarity Lanes,News article,"Today the European Commission, together with Ukraine, Moldova, Romania and the US are inaugurating the renewed Ukrainian-Moldovan border crossing point in Reni, Ukraine, as part of the Solidarity Lanes initiative.",https://transport.ec.europa.eu/news-events/news/eu-supports-improved-ukrainian-moldovan-border-crossing-cooperation-part-solidarity-lanes-2024-05-16_en
2024-05-16,Solidarity Lanes: Latest figures – April 2024,News article,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-april-2024-2024-05-16_en
2024-05-14,Commission adopts reasoned opinion in case brought by Italy against Austria on road transport,News article,The Commission today adopted a reasoned opinion in a procedure brought by Italy against Austria under Article 259 of the Treaty on the Functioning of the European Union.,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/mex_24_2601
2024-04-30,Excellence in Road Safety Awards 2024: applications now open,News article,"Today, the European Road Safety Charter, the largest civil platform dedicated to road safety and led by the European Commission, opened applications for the 2024 Excellence in Road Safety Awards.",https://transport.ec.europa.eu/news-events/news/excellence-road-safety-awards-2024-applications-now-open-2024-04-30_en
2024-04-24,April infringement package: key decisions,News article,April infringement package: key decisions,https://transport.ec.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/inf_24_1941
2024-04-22,Urban Vehicle Access Regulations (UVARs) – recommendations by the Expert Group on Urban Mobility,News article,The Expert Group on Urban Mobility (EGUM) has adopted its recommendations on Urban Vehicle Access Regulations .,https://transport.ec.europa.eu/news-events/news/urban-vehicle-access-regulations-uvars-recommendations-expert-group-urban-mobility-2024-04-22_en
2024-04-17,Commission and EU rail sector launch Women in Rail Award 2024,News article,"The award, divided into three categories, aims to promote fairness, diversity, and equality, and to celebrate outstanding and inspiring women and their achievements in the rail sector.",https://transport.ec.europa.eu/news-events/news/commission-and-eu-rail-sector-launch-women-rail-award-2024-2024-04-17_en
2024-04-16,Solidarity Lanes: Latest figures – March 2024,News article,"In the face of Russia’s war of aggression against Ukraine, the EU, together with Ukraine and Moldova launched the EU-Ukraine Solidarity Lanes in May 2022, establishing new transport routes to keep Ukraine’s imports and exports flowing via rail, road and inland waterways.",https://transport.ec.europa.eu/news-events/news/solidarity-lanes-latest-figures-march-2024-2024-04-16_en
2024-04-12,Alternative Fuels Infrastructure Regulation: Q&A on operating recharging infrastructure,News article,"The Alternative Fuels Infrastructure Regulation (AFIR), comes into force on 13 April 2024, supporting the transition towards more sustainable transport by setting obligatory targets for the rollout of recharging and refuelling transport infrastructure.",https://transport.ec.europa.eu/news-events/news/alternative-fuels-infrastructure-regulation-qa-operating-recharging-infrastructure-2024-04-12_en
2024-04-10,EU boosts zero-emission mobility with over €424 million in funding for 42 projects,News article,The Commission is announcing the selection of 42 new projects deploying alternative fuels infrastructure that will receive over €424 million in EU support.,https://transport.ec.europa.eu/news-events/news/eu-boosts-zero-emission-mobility-over-eu424-million-funding-42-projects-2024-04-10_en
