2025-07-30T12:00:00Z,Commission publishes new guidance on sustainable rural mobility and ecotourism ,"Today the Commission publishes four new guidance documents, developed under the SMARTA-NET Project ‘Sustainable rural mobility in support of ecotourism’. ",News article,/news-events/news/commission-publishes-new-guidance-sustainable-rural-mobility-and-ecotourism-2025-07-30_en
2025-07-30T12:00:00Z,European Commission adopts 9th report on development of the rail market ,The ninth Rail Market Monitoring Report (RMMS) analyses developments in the EU rail market from 2018 to 2022. ,News article,/news-events/news/european-commission-adopts-9th-report-development-rail-market-2025-07-30_en
2025-07-29T12:00:00Z,Portugal signs concession and first tranche of financing for new Lisbon-Porto high-speed line,"Backed by €813 million from the Connecting Europe Facility, the Lisbon-Porto high speed railway will shorten travel time between the two cities from approximately 3 hours to 1 hour 15 minutes, once completed.",News article,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1931
2025-07-28T12:00:00Z,Commission launches call for evidence on revision to Rail Passenger Rights,The European Commission is requesting input from citizens and stakeholders on a planned targeted revision of the Rail Passenger Rights Regulation.,News article,/news-events/news/commission-launches-call-evidence-revision-rail-passenger-rights-2025-07-28_en
2025-07-23T12:00:00Z,Sustainable EU tourism: new communication toolkit available,Ready to make tourism in your destination more sustainable? The Sustainable EU Tourism initiative is here to support you.,News article,/news-events/news/sustainable-eu-tourism-new-communication-toolkit-available-2025-07-23_en
2025-07-17T12:00:00Z,Commissioner Tzitzikostas hosts dialogues on cutting transport emissions,"Commissioner for Sustainable Transport and Tourism, Apostolos Tzitzikostas, will host two dialogues to advance the decarbonisation of EU transport.",News article,/news-events/news/commissioner-tzitzikostas-hosts-dialogues-cutting-transport-emissions-2025-07-17_en
2025-07-17T12:00:00Z,July infringements package: key decisions,July infringements package: key decisions,News article,https://ec.europa.eu/commission/presscorner/detail/en/inf_25_1628
2025-07-11T12:00:00Z,The EU Flight Emissions Label takes a flight forward with first airlines committing to the scheme,The European Union Aviation Safety Agency (EASA) has signed an agreement with Air France-KLM to help the airlines prepare for joining the EU Flight Emissions Label (FEL).,News article,/news-events/news/eu-flight-emissions-label-takes-flight-forward-first-airlines-committing-scheme-2025-07-11_en
2025-07-09T12:00:00Z,Commission adopts milestones for the completion of Rail Baltica,"The European Commission has today adopted an implementing decision setting out key milestones and deadlines for the completion of Rail Baltica, a flagship cross-border railway infrastructure project that will significantly enhance connectivity within the European Union.",News article,/news-events/news/commission-adopts-milestones-completion-rail-baltica-2025-07-09_en
2025-07-09T12:00:00Z,Call for applications for the Commission expert group on the Human Dimension of the Single European Sky ,"To complement the current memberships of the Commission expert group on the Human Dimension of the Single European Sky, the Commission has launched a call for applications for new members.",News article,/news-events/news/call-applications-commission-expert-group-human-dimension-single-european-sky-2025-07-09_en
2025-07-08T12:00:00Z,Commission reviews progress toward a Single European Railway Area,"The Commission published a report assessing the implementation of the Single European Railway Area Directive, taking an initial position on how its provisions have influenced the development of the European rail sector to date.",News article,/news-events/news/commission-reviews-progress-toward-single-european-railway-area-2025-07-08_en
2025-07-03T12:00:00Z,EU invests €2.8 billion in 94 transport projects to boost sustainable and connected mobility across Europe,The Commission has selected 94 transport projects to receive nearly €2.8 billion in EU grants under the Connecting Europe Facility.,News article,/news-events/news/eu-invests-eu28-billion-94-transport-projects-boost-sustainable-and-connected-mobility-across-europe-2025-07-03_en
2025-07-01T12:00:00Z,The Commission sets course for the future of the EU Ports and Maritime Industry,The European Commission has started preparations for an EU Ports Strategy and EU Industrial Maritime Strategy and is inviting stakeholders to participate in the process.,News article,/news-events/news/commission-sets-course-future-eu-ports-and-maritime-industry-2025-07-01_en
2025-07-01T12:00:00Z,Commissioners Tzitzikostas and Kubilius to discuss necessary investments in EU military mobility and infrastructure,"Commissioners Apostolos Tzitzikostas and Andrius Kubilius participate in the extraordinary TEN-T Committee with Member States, aimed at speeding up the EU’s military mobility policy -a cornerstone of Europe's defence and security architecture.",News article,/news-events/news/commissioners-tzitzikostas-and-kubilius-discuss-necessary-investments-eu-military-mobility-and-2025-07-01_en
2025-06-27T12:00:00Z,Commission proposes toll exemptions to boost demand for zero-emission lorries and buses ,"As pledged in its Industrial Action Plan for the European automotive sector, the Commission is proposing to extend the period in which zero-emission heavy-duty vehicles (HDVs) can be exempted from tolls and user charges.",News article,/news-events/news/commission-proposes-toll-exemptions-boost-demand-zero-emission-lorries-and-buses-2025-06-27_en
2025-06-26T12:00:00Z,The Commission welcomes provisional agreement on modernising river information services in EU,The Commission welcomes the provisional political agreement to modernise traffic management on the EU’s rivers and canals.,News article,/news-events/news/commission-welcomes-provisional-agreement-modernising-river-information-services-eu-2025-06-26_en
2025-06-24T12:00:00Z,Solidarity Lanes: Latest figures – May 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-may-2025-2025-06-24_en
2025-06-23T12:00:00Z,Have your say on the upcoming EU sustainable tourism strategy,"Starting today, citizens are invited to have their say in the Commission’s open public consultation and call for evidence.",News article,/news-events/news/have-your-say-upcoming-eu-sustainable-tourism-strategy-2025-06-23_en
