date,title,desc,type,link
2025-07-11 12:00:00+00:00,The EU Flight Emissions Label takes a flight forward with first airlines committing to the scheme,The European Union Aviation Safety Agency (EASA) has signed an agreement with Air France-KLM to help the airlines prepare for joining the EU Flight Emissions Label (FEL).,News article,/news-events/news/eu-flight-emissions-label-takes-flight-forward-first-airlines-committing-scheme-2025-07-11_en
2025-07-09 12:00:00+00:00,Commission adopts milestones for the completion of Rail Baltica,"The European Commission has today adopted an implementing decision setting out key milestones and deadlines for the completion of Rail Baltica, a flagship cross-border railway infrastructure project that will significantly enhance connectivity within the European Union.",News article,/news-events/news/commission-adopts-milestones-completion-rail-baltica-2025-07-09_en
2025-07-09 12:00:00+00:00,Call for applications for the Commission expert group on the Human Dimension of the Single European Sky ,"To complement the current memberships of the Commission expert group on the Human Dimension of the Single European Sky, the Commission has launched a call for applications for new members.",News article,/news-events/news/call-applications-commission-expert-group-human-dimension-single-european-sky-2025-07-09_en
2025-07-08 12:00:00+00:00,Commission reviews progress toward a Single European Railway Area,"The Commission published a report assessing the implementation of the Single European Railway Area Directive, taking an initial position on how its provisions have influenced the development of the European rail sector to date.",News article,/news-events/news/commission-reviews-progress-toward-single-european-railway-area-2025-07-08_en
2025-07-03 12:00:00+00:00,EU invests €2.8 billion in 94 transport projects to boost sustainable and connected mobility across Europe,The Commission has selected 94 transport projects to receive nearly €2.8 billion in EU grants under the Connecting Europe Facility.,News article,/news-events/news/eu-invests-eu28-billion-94-transport-projects-boost-sustainable-and-connected-mobility-across-europe-2025-07-03_en
2025-07-01 12:00:00+00:00,The Commission sets course for the future of the EU Ports and Maritime Industry,The European Commission has started preparations for an EU Ports Strategy and EU Industrial Maritime Strategy and is inviting stakeholders to participate in the process.,News article,/news-events/news/commission-sets-course-future-eu-ports-and-maritime-industry-2025-07-01_en
2025-07-01 12:00:00+00:00,Commissioners Tzitzikostas and Kubilius to discuss necessary investments in EU military mobility and infrastructure,"Commissioners Apostolos Tzitzikostas and Andrius Kubilius participate in the extraordinary TEN-T Committee with Member States, aimed at speeding up the EU’s military mobility policy -a cornerstone of Europe's defence and security architecture.",News article,/news-events/news/commissioners-tzitzikostas-and-kubilius-discuss-necessary-investments-eu-military-mobility-and-2025-07-01_en
2025-06-27 12:00:00+00:00,Commission proposes toll exemptions to boost demand for zero-emission lorries and buses ,"As pledged in its Industrial Action Plan for the European automotive sector, the Commission is proposing to extend the period in which zero-emission heavy-duty vehicles (HDVs) can be exempted from tolls and user charges.",News article,/news-events/news/commission-proposes-toll-exemptions-boost-demand-zero-emission-lorries-and-buses-2025-06-27_en
2025-06-26 12:00:00+00:00,The Commission welcomes provisional agreement on modernising river information services in EU,The Commission welcomes the provisional political agreement to modernise traffic management on the EU’s rivers and canals.,News article,/news-events/news/commission-welcomes-provisional-agreement-modernising-river-information-services-eu-2025-06-26_en
2025-06-24 12:00:00+00:00,Solidarity Lanes: Latest figures – May 2025,Latest figures on Ukrainian exports and imports via the EU-Ukraine Solidarity Lanes: new transport routes established in the face of Russia’s war of aggression against Ukraine.,News article,/news-events/news/solidarity-lanes-latest-figures-may-2025-2025-06-24_en
